"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYER",2026-02-01 05:00:00,2026-02-01,"VFR",-11,-14,79,200,6,14500,29.87,NA,"SCT  ft","METAR CYER 010500Z AUTO 20006KT 9SM SCT240 M11/M14 A2987 RMK SLP120",2026-02-01 05:27:51.036255,2026-02-01 00:27:51.036255
"CYAT",2026-02-01 05:00:00,2026-02-01,"VFR",-15,-18,78,200,4,14500,30.09,NA,"CLR  ft","METAR CYAT 010500Z AUTO 20004KT 170V230 9SM CLR M15/M18 A3009 RMK SLP192",2026-02-01 05:27:51.13497,2026-02-01 00:27:51.13497
"CYMO",2026-02-01 05:00:00,2026-02-01,"VFR",-19,-22,77,210,9,14500,30.23,NA,"FEW  ft","METAR CYMO 010500Z AUTO 21009KT 9SM FEW140 M19/M22 A3023 RMK SLP239",2026-02-01 05:27:51.275804,2026-02-01 00:27:51.275804
"CYPL",2026-02-01 05:00:00,2026-02-01,"VFR",-11,-14,79,180,11,14500,29.92,NA,"FEW  ft","METAR CYPL 010500Z AUTO 18011G17KT 9SM FEW170 M11/M14 A2992 RMK SLP169",2026-02-01 05:27:51.368262,2026-02-01 00:27:51.368262
"CYQT",2026-02-01 05:21:00,2026-02-01 00:21:00,"MVFR",-20,-22,84,0,2,24100,30.21,NA,"BKN  ft; BKN  ft","SPECI CYQT 010521Z VRB02KT 15SM BKN014 BKN250 M20/M22 A3021 RMK SC5CI1 SLP252",2026-02-01 05:27:51.467479,2026-02-01 00:27:51.467479
"CYAM",2026-02-01 05:00:00,2026-02-01,"VFR",-22,-24,84,0,0,24100,30.32,NA,"FEW  ft; FEW  ft","METAR CYAM 010500Z 00000KT 15SM FEW003 FEW240 M22/M24 A3032 RMK ST1CI1 ST TR CI TR FROIN SLP288",2026-02-01 05:27:51.560422,2026-02-01 00:27:51.560422
"CYTS",2026-02-01 05:00:00,2026-02-01,"VFR",-27,-29,83,170,3,24100,30.25,NA,"SKC  ft","METAR CYTS 010500Z 17003KT 15SM SKC M27/M29 A3025 RMK SLP281",2026-02-01 05:27:51.654139,2026-02-01 00:27:51.654139
"CYSB",2026-02-01 05:00:00,2026-02-01,"VFR",-19,-22,77,330,6,24100,30.23,NA,"SKC  ft","METAR CYSB 010500Z 33006KT 15SM SKC M19/M22 A3023 RMK SLP274",2026-02-01 05:27:51.748969,2026-02-01 00:27:51.748969
"CYYB",2026-02-01 05:00:00,2026-02-01,"VFR",-16,-20,72,360,7,14500,30.19,NA,"CLR  ft","METAR CYYB 010500Z AUTO 36007KT 9SM CLR M16/M20 A3019 RMK SLP259",2026-02-01 05:27:51.841971,2026-02-01 00:27:51.841971
"CYOW",2026-02-01 05:00:00,2026-02-01,"MVFR",-12,-17,67,330,6,24100,30.17,NA,"BKN  ft","METAR CYOW 010500Z 33006KT 15SM BKN024 M12/M17 A3017 RMK SC7 SLP227",2026-02-01 05:27:51.936049,2026-02-01 00:27:51.936049
"CYGK",2026-02-01 04:00:00,2026-01-31 23:00:00,"MVFR",-16,-19,78,320,3,24100,30.21,NA,"OVC  ft","METAR CYGK 010400Z 32003KT 15SM OVC025 M16/M19 A3021 RMK SC8 LAST STFD OBS/ NXT 011100Z SLP241",2026-02-01 05:27:52.030071,2026-02-01 00:27:52.030071
"CYQG",2026-02-01 05:00:00,2026-02-01,"MVFR",-10,-14,73,340,7,14500,30.28,NA,"OVC  ft","METAR CYQG 010500Z AUTO 34007KT 9SM -SN OVC024 M10/M14 A3028 RMK SLP271",2026-02-01 05:27:52.129786,2026-02-01 00:27:52.129786
"CYVV",2026-02-01 05:00:00,2026-02-01,"VFR",-12,-16,72,360,4,9999,30.25,NA,"SKC  ft","METAR CYVV 010500Z 36004KT 330V040 10SM SKC M12/M16 A3025 RMK FROIN SLP263",2026-02-01 05:27:52.222497,2026-02-01 00:27:52.222497
"CYYZ",2026-02-01 05:00:00,2026-02-01,"VFR",-13,-19,61,360,14,24100,30.2,NA,"SKC  ft","METAR CYYZ 010500Z 36014KT 15SM SKC M13/M19 A3020 RMK SLP243",2026-02-01 05:27:52.316343,2026-02-01 00:27:52.316343
"CYQA",2026-02-01 05:00:00,2026-02-01,"VFR",-23,-25,84,350,2,14500,30.18,NA,"CLR  ft","METAR CYQA 010500Z AUTO 35002KT 9SM CLR M23/M25 A3018 RMK SLP251",2026-02-01 05:27:52.41054,2026-02-01 00:27:52.41054
"CYVR",2026-02-01 05:00:00,2026-02-01,"VFR",8,8,100,170,2,32200,29.98,NA,"FEW  ft; BKN  ft; OVC  ft","METAR CYVR 010500Z 17002KT 20SM FEW070 BKN091 OVC120 08/08 A2998 RMK AC1AC6AC2 AC TR SLP154",2026-02-01 05:27:52.502458,2026-02-01 00:27:52.502458
