"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYER",2026-06-01 05:00:00,2026-06-01 01:00:00,"LIFR",0,0,100,90,10,1207.01,30.35,NA,"VV  ft","METAR CYER 010500Z AUTO 09010KT 3/4SM BR VV004 M00/M00 A3035 RMK SLP281",2026-06-01 05:33:48.3313,2026-06-01 01:33:48.3313
"CYAT",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",3,2,93,50,5,14484.1,30.26,NA,NA,"METAR CYAT 010500Z AUTO 05005KT 9SM CLR 03/02 A3026 RMK SLP251",2026-06-01 05:33:48.445994,2026-06-01 01:33:48.445994
"CYMO",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",3,2,93,310,4,14484.1,30.19,NA,NA,"METAR CYMO 010500Z AUTO 31004KT 9SM CLR 03/02 A3019 RMK SLP226",2026-06-01 05:33:48.547105,2026-06-01 01:33:48.547105
"CYPL",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",18,3,36,80,8,14484.1,30.12,NA,NA,"METAR CYPL 010500Z AUTO 08008KT 9SM CLR 18/03 A3012 RMK SLP203 DENSITY ALT 1800FT",2026-06-01 05:33:48.649543,2026-06-01 01:33:48.649543
"CYQT",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",7,5,87,240,5,24140.16,30.06,NA,"FEW  ft","METAR CYQT 010500Z 24005KT 15SM FEW230 07/05 A3006 RMK CI2 SLP185",2026-06-01 05:33:48.752157,2026-06-01 01:33:48.752157
"CYAM",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",8,5,81,270,4,24140.16,30.05,NA,"FEW  ft","METAR CYAM 010500Z 27004KT 15SM FEW120 08/05 A3005 RMK AS1 SLP180",2026-06-01 05:33:48.869113,2026-06-01 01:33:48.869113
"CYTS",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",8,0,57,40,7,24140.16,30.12,NA,NA,"METAR CYTS 010500Z 04007KT 15SM SKC 08/M00 A3012 RMK SLP207",2026-06-01 05:33:48.972344,2026-06-01 01:33:48.972344
"CYSB",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",11,1,50,10,6,24140.16,30.06,NA,NA,"METAR CYSB 010500Z 01006KT 15SM SKC 11/01 A3006 RMK SLP183",2026-06-01 05:33:49.076299,2026-06-01 01:33:49.076299
"CYYB",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",12,0,43,30,6,14484.1,30.03,NA,NA,"METAR CYYB 010500Z AUTO 03006KT 9SM CLR 12/M00 A3003 RMK SLP175",2026-06-01 05:33:49.176129,2026-06-01 01:33:49.176129
"CYOW",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",12,4,58,10,8,24140.16,29.96,NA,"FEW  ft","METAR CYOW 010500Z 01008KT 15SM FEW090 12/04 A2996 RMK AC1 AC TR SLP148",2026-06-01 05:33:49.291561,2026-06-01 01:33:49.291561
"CYGK",2026-06-01 03:00:00,2026-05-31 23:00:00,"VFR",14,4,50,40,6,24140.16,29.96,NA,"FEW  ft","METAR CYGK 010300Z 04006KT 350V060 15SM FEW100 14/04 A2996 RMK AC1 LAST STFD OBS/NXT 011000Z SLP147",2026-06-01 05:33:49.390932,2026-06-01 01:33:49.390932
"CYQG",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",13,9,76,260,4,14484.1,30.01,NA,NA,"METAR CYQG 010500Z AUTO 26004KT 9SM CLR 13/09 A3001 RMK SLP164",2026-06-01 05:33:49.494016,2026-06-01 01:33:49.494016
"CYVV",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",7,7,100,100,2,24140.16,30.02,NA,"FEW  ft","METAR CYVV 010500Z 10002KT 15SM FEW250 07/07 A3002 RMK CI1 SLP170",2026-06-01 05:33:49.595564,2026-06-01 01:33:49.595564
"CYYZ",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",15,4,47,350,9,24140.16,29.98,NA,"SCT  ft","METAR CYYZ 010500Z 35009KT 15SM SCT110 15/04 A2998 RMK AC3 SLP154",2026-06-01 05:33:49.695707,2026-06-01 01:33:49.695707
"CYQA",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",6,6,100,340,2,14484.1,30,NA,NA,"METAR CYQA 010500Z AUTO 34002KT 9SM CLR 06/06 A3000 RMK SLP165",2026-06-01 05:33:49.803813,2026-06-01 01:33:49.803813
"CYVR",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",15,12,82,310,8,32186.88,30.21,NA,NA,"METAR CYVR 010500Z 31008KT 20SM SKC 15/12 A3021 RMK SLP231",2026-06-01 05:33:49.905632,2026-06-01 01:33:49.905632
"CYYJ",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",14,7,62,0,0,48280.32,30.23,NA,NA,"METAR CYYJ 010500Z 00000KT 30SM SKC 14/07 A3023 RMK SLP237",2026-06-01 05:33:50.003881,2026-06-01 01:33:50.003881
"CYLW",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",14,6,58,50,4,14484.1,30.15,NA,NA,"METAR CYLW 010500Z AUTO 05004KT 9SM CLR 14/06 A3015 RMK SLP212",2026-06-01 05:33:50.105547,2026-06-01 01:33:50.105547
"CYXS",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",6,-3,52,NA,2,14484.1,30.32,NA,NA,"METAR CYXS 010500Z AUTO VRB02KT 9SM CLR 06/M03 A3032 RMK SLP288",2026-06-01 05:33:50.204217,2026-06-01 01:33:50.204217
"CYXT",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",13,0,40,280,6,32186.88,30.4,NA,"FEW  ft; FEW  ft","METAR CYXT 010500Z 28006KT 20SM FEW120 FEW210 13/M00 A3040 RMK AC1CI1 SLP304",2026-06-01 05:33:50.330626,2026-06-01 01:33:50.330626
"CYQQ",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",15,5,51,330,9,32186.88,30.26,NA,NA,"METAR CYQQ 010500Z 33009KT 20SM SKC 15/05 A3026 RMK DENSITY ALT -123FT SLP247",2026-06-01 05:33:50.430963,2026-06-01 01:33:50.430963
"CYYC",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",5,3,86,340,18,9999,30.14,NA,"FEW  ft; OVC  ft","METAR CYYC 010500Z 34018G24KT 10SM -RA FEW017 OVC031 05/03 A3014 RMK SF1NS8 SF TR SLP244",2026-06-01 05:33:50.530406,2026-06-01 01:33:50.530406
"CYEG",2026-06-01 05:00:00,2026-06-01 01:00:00,"MVFR",7,6,93,310,17,19312.13,30.16,NA,"FEW  ft; OVC  ft","METAR CYEG 010500Z 31017G25KT 12SM -RA FEW014 OVC028 07/06 A3016 RMK SF2NS6 SLP234",2026-06-01 05:33:50.63108,2026-06-01 01:33:50.63108
"CYMM",2026-06-01 05:22:00,2026-06-01 01:22:00,"IFR",11,11,100,340,12,6437.38,30.09,NA,"BKN  ft; BKN  ft; OVC  ft","SPECI CYMM 010522Z AUTO 34012KT 4SM RA BR BKN009 BKN012 OVC021 11/11 A3009 RMK PCPN 3.5MM PAST HR SLP201",2026-06-01 05:33:50.753603,2026-06-01 01:33:50.753603
"CYQF",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",6,4,87,320,21,12874.75,30.18,NA,"OVC  ft","METAR CYQF 010500Z AUTO 32021G33KT 8SM -RA OVC038 06/04 A3018 RMK SLP249",2026-06-01 05:33:50.867224,2026-06-01 01:33:50.867224
"CYXE",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",22,15,64,110,12,24140.16,29.86,NA,"SCT  ft; BKN  ft","METAR CYXE 010500Z 11012KT 15SM SCT100 BKN300 22/15 A2986 RMK AC4CI3 SLP116 DENSITY ALT 2900FT",2026-06-01 05:33:50.965143,2026-06-01 01:33:50.965143
"CYQR",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",19,15,77,110,16,24140.16,29.85,NA,"FEW  ft; BKN  ft; OVC  ft","METAR CYQR 010500Z 11016G21KT 15SM FEW030 BKN160 OVC220 19/15 A2985 RMK SC1AC5CI3 SC TR SLP113 DENSITY ALT 2900FT",2026-06-01 05:33:51.065528,2026-06-01 01:33:51.065528
"CYWG",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",19,12,63,140,5,24140.16,29.98,NA,"FEW  ft","METAR CYWG 010500Z 14005KT 15SM FEW240 19/12 A2998 RMK CC1 CC TR SLP155 DENSITY ALT 1400FT",2026-06-01 05:33:51.173445,2026-06-01 01:33:51.173445
"CYBR",2026-06-01 05:04:00,2026-06-01 01:04:00,"VFR",18,14,77,90,6,14484.1,29.96,NA,"OVC  ft","SPECI CYBR 010504Z AUTO 09006KT 9SM -RA OVC096 18/14 A2996 RMK SLP153 DENSITY ALT 2000FT",2026-06-01 05:33:51.312103,2026-06-01 01:33:51.312103
"CYUL",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",11,8,81,50,8,24140.16,29.95,NA,"FEW  ft; BKN  ft","METAR CYUL 010500Z 05008KT 15SM FEW095 BKN230 11/08 A2995 RMK AC1CI6 AC TR SLP144",2026-06-01 05:33:51.42783,2026-06-01 01:33:51.42783
"CYHU",2026-06-01 05:00:00,2026-06-01 01:00:00,"VFR",9,9,100,350,6,14484.1,29.94,NA,NA,"METAR CYHU 010500Z AUTO 35006KT 9SM CLR 09/09 A2994 RMK SLP141",2026-06-01 05:33:51.538041,2026-06-01 01:33:51.538041
