"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYER",2025-12-01 05:00:00,2025-12-01,"VFR",-19,-22,77,260,13,14500,29.87,NA,"SCT  ft","METAR CYER 010500Z AUTO 26013G20KT 9SM SCT240 M19/M22 A2987 RMK SLP119",2025-12-01 05:35:58.572997,2025-12-01 00:35:58.572997
"CYAT",2025-12-01 05:00:00,2025-12-01,"VFR",-21,-23,84,230,7,14500,30.09,NA,"CLR  ft","METAR CYAT 010500Z AUTO 23007KT 9SM CLR M21/M23 A3009 RMK SLP192",2025-12-01 05:35:58.712712,2025-12-01 00:35:58.712712
"CYMO",2025-12-01 05:00:00,2025-12-01,"VFR",-19,-22,77,250,6,14500,30.2,NA,"CLR  ft","METAR CYMO 010500Z AUTO 25006KT 9SM CLR M19/M22 A3020 RMK SLP229",2025-12-01 05:35:58.84269,2025-12-01 00:35:58.84269
"CYPL",2025-12-01 05:27:00,2025-12-01 00:27:00,"VFR",-13,-16,78,260,12,14500,30.1,NA,"FEW  ft; OVC  ft","SPECI CYPL 010527Z AUTO 26012G18KT 9SM -SN FEW033 OVC055 M13/M16 A3010 RMK SLP232",2025-12-01 05:35:58.934098,2025-12-01 00:35:58.934098
"CYQT",2025-12-01 05:00:00,2025-12-01,"VFR",-9,-15,62,240,4,24100,30.32,NA,"OVC  ft","METAR CYQT 010500Z 24004KT 15SM OVC034 M09/M15 A3032 RMK SC8 SLP284",2025-12-01 05:35:59.027514,2025-12-01 00:35:59.027514
"CYAM",2025-12-01 05:28:00,2025-12-01 00:28:00,"IFR",-7,-8,93,160,3,1600,30.31,NA,"SCT  ft; SCT  ft; OVC  ft","SPECI CYAM 010528Z 16003KT 090V170 1SM R12/P6000FT/U -SHSN SCT007 SCT014TCU OVC032 M07/M08 A3031 RMK SN3CF1TCU1CU4 CF TR TCU SE MOV SE SLP279",2025-12-01 05:35:59.157815,2025-12-01 00:35:59.157815
"CYTS",2025-12-01 05:00:00,2025-12-01,"MVFR",-12,-16,72,320,13,24100,30.21,NA,"OVC  ft","METAR CYTS 010500Z 32013G18KT 15SM OVC027 M12/M16 A3021 RMK SC8 SLP257",2025-12-01 05:35:59.286671,2025-12-01 00:35:59.286671
"CYSB",2025-12-01 05:00:00,2025-12-01,"MVFR",-11,-15,73,330,9,24100,30.2,NA,"OVC  ft","METAR CYSB 010500Z 33009G17KT 15SM -SN DRSN OVC030 M11/M15 A3020 RMK SC8 -SN INTMT SLP252",2025-12-01 05:35:59.378285,2025-12-01 00:35:59.378285
"CYYB",2025-12-01 05:00:00,2025-12-01,"MVFR",-11,-14,79,330,14,14500,30.14,NA,"OVC  ft","METAR CYYB 010500Z AUTO 33014G23KT 9SM -SN OVC019 M11/M14 A3014 RMK SLP235",2025-12-01 05:35:59.467794,2025-12-01 00:35:59.467794
"CYOW",2025-12-01 05:25:00,2025-12-01 00:25:00,"MVFR",-1,-4,80,290,18,12900,29.95,NA,"FEW  ft; OVC  ft","SPECI CYOW 010525Z 29018G26KT 8SM FEW010 OVC016 M01/M04 A2995 RMK SC2SC6 SLP151",2025-12-01 05:35:59.557493,2025-12-01 00:35:59.557493
"CYGK",2025-12-01 04:00:00,2025-11-30 23:00:00,"MVFR",2,-1,81,270,16,24100,29.96,NA,"OVC  ft","METAR CYGK 010400Z 27016G23KT 15SM OVC021 02/M01 A2996 RMK SC8 LAST STFD OBS/NXT 011100Z PRESRR SLP151",2025-12-01 05:35:59.689507,2025-12-01 00:35:59.689507
"CYQG",2025-12-01 05:00:00,2025-12-01,"VFR",-3,-8,69,310,7,14500,30.38,NA,"CLR  ft","METAR CYQG 010500Z AUTO 31007KT 9SM CLR M03/M08 A3038 RMK SLP298",2025-12-01 05:35:59.782085,2025-12-01 00:35:59.782085
"CYVV",2025-12-01 05:00:00,2025-12-01,"VFR",-6,-9,80,350,6,19300,30.26,NA,"FEW  ft","METAR CYVV 010500Z 35006KT 290V030 12SM FEW022 M06/M09 A3026 RMK SC2 SLP262",2025-12-01 05:35:59.913082,2025-12-01 00:35:59.913082
"CYYZ",2025-12-01 05:00:00,2025-12-01,"VFR",-1,-6,69,300,21,24100,30.19,NA,"FEW  ft; BKN  ft","METAR CYYZ 010500Z 30021KT 15SM FEW026 BKN041 M01/M06 A3019 RMK SF1SC4 SLP232",2025-12-01 05:36:00.001474,2025-12-01 00:36:00.001474
"CYQA",2025-12-01 05:16:00,2025-12-01 00:16:00,"MVFR",-7,-10,79,330,11,8000,30.16,NA,"BKN  ft; BKN  ft","SPECI CYQA 010516Z AUTO 33011G16KT 5SM -SN BKN017 BKN060 M07/M10 A3016 RMK SLP235",2025-12-01 05:36:00.091237,2025-12-01 00:36:00.091237
"CYVR",2025-12-01 05:00:00,2025-12-01,"VFR",5,3,87,0,0,32200,30.33,NA,"BKN  ft","METAR CYVR 010500Z 00000KT 20SM BKN120 05/03 A3033 RMK AC7 SLP274",2025-12-01 05:36:00.181432,2025-12-01 00:36:00.181432
