"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYER",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",13,11,87,120,10,14484.1,29.86,NA,"SCT  ft","METAR CYER 010500Z AUTO 12010KT 9SM SCT240 13/11 A2986 RMK SLP116",2026-09-01 05:39:47.981568,2026-09-01 01:39:47.981568
"CYAT",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",9,9,100,90,5,14484.1,29.97,NA,NA,"METAR CYAT 010500Z AUTO 09005KT 9SM CLR 09/09 A2997 RMK SLP151",2026-09-01 05:39:48.086767,2026-09-01 01:39:48.086767
"CYMO",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"METAR CYMO 010500Z AUTO /////KT RMK WIND MISG CLD MISG WX MISG VIS MISG PCPN MISG PRES MISG T MISG DP MISG ICE MISG DENSITY ALT MISG",2026-09-01 05:39:48.193538,2026-09-01 01:39:48.193538
"CYPL",2026-09-01 05:00:00,2026-09-01 01:00:00,"IFR",18,18,100,160,9,14484.1,29.74,NA,"BKN  ft","METAR CYPL 010500Z AUTO 16009KT 9SM BKN005 18/18 A2974 RMK SLP077 DENSITY ALT 2200FT",2026-09-01 05:39:48.294204,2026-09-01 01:39:48.294204
"CYQT",2026-09-01 05:00:00,2026-09-01 01:00:00,"LIFR",18,18,100,70,3,1207.01,29.86,NA,"VV  ft","METAR CYQT 010500Z 07003KT 3/4SM R07/3000V3500FT/N BR VV002 18/18 A2986 RMK FG8 VIS VRB 1/2-1 SLP115 DENSITY ALT 1200FT",2026-09-01 05:39:48.391071,2026-09-01 01:39:48.391071
"CYAM",2026-09-01 05:33:00,2026-09-01 01:33:00,"LIFR",20,20,100,0,0,1609.34,29.88,NA,"BKN  ft; BKN  ft; OVC  ft","SPECI CYAM 010533Z 00000KT 1SM R12/2600V4500FT/U BR BKN002 BKN012 OVC033 20/20 A2988 RMK FG2ST4SC1SC1 SLP123 DENSITY ALT 1400FT",2026-09-01 05:39:48.488914,2026-09-01 01:39:48.488914
"CYTS",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",19,17,88,170,9,24140.16,29.91,NA,"OVC  ft","METAR CYTS 010500Z 17009KT 15SM OVC120 19/17 A2991 RMK AC8 SLP132 DENSITY ALT 1700FT",2026-09-01 05:39:48.585895,2026-09-01 01:39:48.585895
"CYSB",2026-09-01 05:00:00,2026-09-01 01:00:00,"LIFR",18,18,100,0,0,4828.03,29.95,NA,"OVC  ft","METAR CYSB 010500Z 00000KT 3SM -SHRA BR OVC003 18/18 A2995 RMK ST8 WIND EST SLP145 DENSITY ALT 1800FT",2026-09-01 05:39:48.682256,2026-09-01 01:39:48.682256
"CYYB",2026-09-01 05:37:00,2026-09-01 01:37:00,"IFR",18,17,93,90,7,4828.03,29.97,NA,"BKN  ft; BKN  ft; OVC  ft","SPECI CYYB 010537Z AUTO 09007KT 3SM +RA BR BKN006 BKN014 OVC020 18/17 A2997 RMK PCPN 1.2MM PAST HR SLP151 DENSITY ALT 1800FT",2026-09-01 05:39:48.78047,2026-09-01 01:39:48.78047
"CYOW",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",18,17,93,100,5,22530.82,30.02,NA,"SCT  ft; OVC  ft","METAR CYOW 010500Z 10005KT 14SM SCT065 OVC170 18/17 A3002 RMK SC3AC5 SLP169 DENSITY ALT 800FT",2026-09-01 05:39:48.880303,2026-09-01 01:39:48.880303
"CYGK",2026-09-01 03:00:00,2026-08-31 23:00:00,"MVFR",20,18,88,110,4,24140.16,30.02,NA,"BKN  ft; OVC  ft","METAR CYGK 010300Z 11004KT 15SM BKN024 OVC190 20/18 A3002 RMK SC7AC1 LAST STFD OBS/NXT 011000Z SLP168 DENSITY ALT 900FT",2026-09-01 05:39:48.978903,2026-09-01 01:39:48.978903
"CYQG",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",24,22,88,220,6,14484.1,29.96,NA,"OVC  ft","METAR CYQG 010500Z AUTO 22006KT 9SM OVC170 24/22 A2996 RMK SLP143 DENSITY ALT 1800FT",2026-09-01 05:39:49.074958,2026-09-01 01:39:49.074958
"CYVV",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",22,21,94,210,4,9999,29.91,NA,"BKN  ft; OVC  ft","METAR CYVV 010500Z 21004KT 10SM BKN047 OVC210 22/21 A2991 RMK SC6CI2 SLP128 DENSITY ALT 1700FT",2026-09-01 05:39:49.170737,2026-09-01 01:39:49.170737
"CYYZ",2026-09-01 05:33:00,2026-09-01 01:33:00,"LIFR",20,20,100,160,3,201.17,29.94,NA,"VV  ft","SPECI CYYZ 010533Z 16003KT 1/8SM R06L/2400V2800FT/N FG VV002 20/20 A2994 RMK FG8 SLP139 DENSITY ALT 1400FT",2026-09-01 05:39:49.26785,2026-09-01 01:39:49.26785
"CYQA",2026-09-01 05:18:00,2026-09-01 01:18:00,"LIFR",19,19,100,150,7,14484.1,29.95,NA,"OVC  ft","SPECI CYQA 010518Z AUTO 15007KT 9SM OVC003 19/19 A2995 RMK SLP143 DENSITY ALT 1600FT",2026-09-01 05:39:49.367703,2026-09-01 01:39:49.367703
"CYVR",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",17,17,100,290,7,24140.16,29.77,NA,NA,"METAR CYVR 010500Z 29007KT 15SM SKC 17/17 A2977 RMK SLP085 DENSITY ALT 400FT",2026-09-01 05:39:49.466282,2026-09-01 01:39:49.466282
"CYYJ",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",16,11,72,170,3,32186.88,29.78,NA,"FEW  ft","METAR CYYJ 010500Z 17003KT 20SM FEW250 16/11 A2978 RMK CI2 SLP088 DENSITY ALT 400FT",2026-09-01 05:39:49.570726,2026-09-01 01:39:49.570726
"CYLW",2026-09-01 05:37:00,2026-09-01 01:37:00,"MVFR",15,10,72,60,5,8046.72,29.81,NA,NA,"SPECI CYLW 010537Z AUTO 06005KT 5SM HZ CLR 15/10 A2981 RMK SLP095 DENSITY ALT 1900FT",2026-09-01 05:39:49.668315,2026-09-01 01:39:49.668315
"CYXS",2026-09-01 05:30:00,2026-09-01 01:30:00,"VFR",12,12,100,170,4,14484.1,29.76,NA,"BKN  ft; OVC  ft","SPECI CYXS 010530Z AUTO 17004KT 050V180 9SM -RA BKN081 OVC090 12/12 A2976 RMK LTNG DIST S SLP089 DENSITY ALT 2700FT",2026-09-01 05:39:49.767891,2026-09-01 01:39:49.767891
"CYXT",2026-09-01 05:36:00,2026-09-01 01:36:00,"MVFR",11,11,100,280,8,4828.03,29.67,NA,"SCT  ft; OVC  ft","SPECI CYXT 010536Z 28008KT 3SM -RA BR SCT004 OVC020 11/11 A2967 RMK SF4SC4 SLP053",2026-09-01 05:39:49.867883,2026-09-01 01:39:49.867883
"CYQQ",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",16,11,72,260,2,32186.88,29.8,NA,"BKN  ft; BKN  ft","METAR CYQQ 010500Z 26002KT 20SM BKN150 BKN250 16/11 A2980 RMK AC5CI2 DENSITY ALT 568FT SLP091",2026-09-01 05:39:49.967014,2026-09-01 01:39:49.967014
"CYYC",2026-09-01 05:00:00,2026-09-01 01:00:00,"VFR",15,6,54,150,5,24140.16,29.91,NA,"FEW  ft","METAR CYYC 010500Z 15005KT 15SM FEW240 15/06 A2991 RMK CI1 SLP130 DENSITY ALT 4500FT",2026-09-01 05:39:50.064218,2026-09-01 01:39:50.064218
