icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2026-04-01T05:32:00Z,2026-04-01T01:32:00Z,MVFR,-3,-5,86,310,13,9999,30.13,NA,BKN  ft; OVC  ft,SPECI CYAM 010532Z 31013G20KT 10SM BKN014 OVC018 M03/M05 A3013 RMK SC5SC3 FROIN SLP215,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYAM,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,MVFR,-3,-7,73,350,9,9999,30.17,NA,FEW  ft; SCT  ft; BKN  ft; BKN  ft,METAR CYAM 010700Z 35009G15KT 10SM FEW018 SCT021 BKN028 BKN220 M03/M07 A3017 RMK SC2SC2SC2CI1 SLP227,2026-04-01T07:51:26Z,2026-04-01T03:51:26Z
CYAM,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-6,-10,73,340,6,9999,30.24,NA,FEW  ft; SCT  ft,METAR CYAM 010900Z 34006KT 10SM FEW020 SCT220 M06/M10 A3024 RMK SC2CI2 SLP253,2026-04-01T09:23:01Z,2026-04-01T05:23:01Z
CYAM,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-7,-10,79,360,4,19312.13,30.3,NA,FEW  ft; SCT  ft; BKN  ft,METAR CYAM 011100Z 36004KT 12SM FEW020 SCT035 BKN220 M07/M10 A3030 RMK CU1SC2CI3 SLP274,2026-04-01T11:11:22Z,2026-04-01T07:11:22Z
CYAM,2026-04-01T13:00:00Z,2026-04-01T09:00:00Z,VFR,-7,-12,67,40,6,24140.16,30.38,NA,FEW  ft; FEW  ft; FEW  ft; SCT  ft,METAR CYAM 011300Z 04006KT 15SM FEW018 FEW160 FEW210 SCT220 M07/M12 A3038 RMK SC1AC1CI2CI1 SC TR AC TR CONTRAILS SLP304,2026-04-01T14:00:18Z,2026-04-01T10:00:18Z
CYAM,2026-04-01T15:00:00Z,2026-04-01T11:00:00Z,VFR,-6,-12,62,80,4,32186.88,30.42,NA,FEW  ft; FEW  ft; FEW  ft; BKN  ft,METAR CYAM 011500Z 08004KT 060V130 20SM FEW020 FEW160 FEW210 BKN220 M06/M12 A3042 RMK SC1AC1CI2CI3 SC TR AC TR SLP314,2026-04-01T15:20:15Z,2026-04-01T11:20:15Z
CYAT,2026-04-01T05:00:00Z,2026-04-01T01:00:00Z,VFR,-27,-30,75,10,3,14484.1,30.41,NA,NA,METAR CYAT 010500Z AUTO 01003KT 9SM CLR M27/M30 A3041 RMK SLP302,2026-04-01T06:05:53Z,2026-04-01T02:05:53Z
CYAT,2026-04-01T07:00:00Z,2026-04-01T03:00:00Z,VFR,-29,-33,68,340,2,14484.1,30.44,NA,NA,METAR CYAT 010700Z AUTO 34002KT 9SM CLR M29/M33 A3044 RMK SLP312,2026-04-01T07:51:26Z,2026-04-01T03:51:26Z
CYAT,2026-04-01T09:00:00Z,2026-04-01T05:00:00Z,VFR,-30,-34,68,290,3,14484.1,30.48,NA,NA,METAR CYAT 010900Z AUTO 29003KT 9SM CLR M30/M34 A3048 RMK SLP323,2026-04-01T09:23:00Z,2026-04-01T05:23:00Z
CYAT,2026-04-01T11:00:00Z,2026-04-01T07:00:00Z,VFR,-30,-33,75,0,0,14484.1,30.52,NA,NA,METAR CYAT 011100Z AUTO 00000KT 9SM CLR M30/M33 A3052 RMK SLP337,2026-04-01T11:11:22Z,2026-04-01T07:11:22Z
