icao,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,rh_percent,wind_dir_deg,wind_kts,vis_m,altimeter_hg,conditions,clouds,raw_text,fetched_at_utc,fetched_at_local
CYAM,2025-09-05T18:00:00Z,2025-09-05T14:00:00Z,VFR,13,6,63,270,20,24100,29.51,NA,SCT  ft; BKN  ft; BKN  ft,CYAM 051800Z 27020G26KT 15SM VCSH SCT031 BKN048 BKN084 13/06 A2951 RMK CU4SC2AC1 VCSH S W /R10/ SLP000 DENSITY ALT 1000FT,2025-09-05T18:23:21Z,2025-09-05T14:23:21Z
CYAM,2025-09-05T18:35:00Z,2025-09-05T14:35:00Z,VFR,13,6,63,270,15,9700,29.53,NA,SCT  ft; BKN  ft,CYAM 051835Z 27015G22KT 6SM -SHRA BR SCT026 BKN048 13/06 A2953 RMK CU4SC3 SLP006 DENSITY ALT 1000FT,2025-09-05T18:48:17Z,2025-09-05T14:48:17Z
CYAM,2025-09-05T19:00:00Z,2025-09-05T15:00:00Z,VFR,11,7,77,280,17,9700,29.55,NA,SCT  ft; BKN  ft; OVC  ft,CYAM 051900Z 28017G25KT 6SM -SHRA BR SCT021 BKN042 OVC062 11/07 A2955 RMK CU4SC2SC2 SLP011,2025-09-05T19:20:59Z,2025-09-05T15:20:59Z
CYAM,2025-09-05T20:00:00Z,2025-09-05T16:00:00Z,VFR,11,8,82,270,12,32200,29.58,NA,FEW  ft; BKN  ft; OVC  ft,CYAM 052000Z 27012G19KT 20SM VCSH FEW021 BKN046 OVC100 11/08 A2958 RMK CU2SC4AC2 VCSH SE SLP021,2025-09-05T20:29:27Z,2025-09-05T16:29:27Z
CYAM,2025-09-05T21:00:00Z,2025-09-05T17:00:00Z,VFR,12,7,72,260,12,32200,29.6,NA,SCT  ft; BKN  ft; BKN  ft,CYAM 052100Z 26012G18KT 20SM VCSH SCT024 BKN042 BKN095 12/07 A2960 RMK CU3SC3AC1 VCSH W NW SLP029,2025-09-05T21:14:25Z,2025-09-05T17:14:25Z
CYAM,2025-09-05T21:23:00Z,2025-09-05T17:23:00Z,MVFR,11,7,77,280,14,24100,29.61,NA,BKN  ft; BKN  ft; OVC  ft,CYAM 052123Z 28014G23KT 15SM -SHRA BKN026 BKN042 OVC080 11/07 A2961 RMK CU5SC2AC1 SLP033,2025-09-05T21:31:33Z,2025-09-05T17:31:33Z
CYAM,2025-09-05T21:42:00Z,2025-09-05T17:42:00Z,MVFR,11,7,77,280,13,24100,29.62,NA,FEW  ft; BKN  ft; BKN  ft; OVC  ft,CYAM 052142Z 28013KT 15SM FEW015 BKN022 BKN049 OVC078 11/07 A2962 RMK CF2CU3SC2AC1 SLP036,2025-09-05T21:51:08Z,2025-09-05T17:51:08Z
CYAM,2025-09-05T22:00:00Z,2025-09-05T18:00:00Z,MVFR,11,7,77,260,15,24100,29.62,NA,FEW  ft; BKN  ft; BKN  ft; OVC  ft,CYAM 052200Z 26015KT 15SM -SHRA FEW014 BKN024 BKN041 OVC080 11/07 A2962 RMK CF1CU4SC2AC1 SLP037,2025-09-05T22:18:44Z,2025-09-05T18:18:44Z
CYAM,2025-09-05T22:15:00Z,2025-09-05T18:15:00Z,VFR,11,7,77,250,11,32200,29.63,NA,FEW  ft; SCT  ft; SCT  ft; OVC  ft,CYAM 052215Z 25011G17KT 20SM FEW015 SCT021 SCT049 OVC082 11/07 A2963 RMK SF1CU2SC1AC4 SLP038,2025-09-05T22:40:49Z,2025-09-05T18:40:49Z
CYAM,2025-09-05T22:50:00Z,2025-09-05T18:50:00Z,VFR,11,7,77,250,11,24100,29.64,NA,FEW  ft; SCT  ft; OVC  ft,CYAM 052250Z CCA 25011G19KT 15SM -SHRA FEW033 SCT047 OVC070 11/07 A2964 RMK CU2SC1AS5 SLP044,2025-09-05T23:03:09Z,2025-09-05T19:03:09Z
CYAM,2025-09-05T23:00:00Z,2025-09-05T19:00:00Z,VFR,11,7,77,240,12,32200,29.65,NA,FEW  ft; SCT  ft; OVC  ft,CYAM 052300Z 24012G18KT 20SM -SHRA FEW033 SCT053 OVC070 11/07 A2965 RMK CU2SC1AS5 SLP045,2025-09-05T23:20:06Z,2025-09-05T19:20:06Z
