"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYER",2025-11-01 04:11:00,2025-11-01 00:11:00,"LIFR",0,NA,NA,290,6,14500,30.02,NA,"BKN  ft; BKN  ft; BKN  ft","SPECI CYER 010411Z AUTO 29006KT 9SM BKN003 BKN018 BKN028 M00/ A3002 RMK DP MISG SLP168",2025-11-01 04:28:32.2424,2025-11-01 00:28:32.2424
"CYAT",2025-11-01 04:00:00,2025-11-01,"VFR",2,1,93,310,7,14500,29.85,NA,"OVC  ft","METAR CYAT 010400Z AUTO 31007KT 9SM OVC037 02/01 A2985 RMK SLP112",2025-11-01 04:28:32.291145,2025-11-01 00:28:32.291145
"CYMO",2025-11-01 04:26:00,2025-11-01 00:26:00,"VFR",2,2,100,330,7,14500,29.77,NA,"FEW  ft; BKN  ft; OVC  ft","SPECI CYMO 010426Z AUTO 33007KT 9SM -RA FEW015 BKN035 OVC046 02/02 A2977 RMK SLP085",2025-11-01 04:28:32.372886,2025-11-01 00:28:32.372886
"CYPL",2025-11-01 04:00:00,2025-11-01,"MVFR",0,-1,93,10,4,14500,30.04,NA,"OVC  ft","METAR CYPL 010400Z AUTO 01004KT 320V070 9SM OVC027 00/M01 A3004 RMK SLP194",2025-11-01 04:28:32.455068,2025-11-01 00:28:32.455068
"CYQT",2025-11-01 04:00:00,2025-11-01,"VFR",3,-2,70,30,6,24100,30,NA,"OVC  ft","METAR CYQT 010400Z 03006KT 15SM OVC039 03/M02 A3000 RMK SC8 SLP170",2025-11-01 04:28:32.549738,2025-11-01 00:28:32.549738
"CYAM",2025-11-01 04:00:00,2025-11-01,"VFR",3,-1,75,0,2,24100,29.86,NA,"OVC  ft","METAR CYAM 010400Z VRB02KT 15SM OVC058 03/M01 A2986 RMK SC8 SLP121",2025-11-01 04:28:32.59375,2025-11-01 00:28:32.59375
"CYTS",2025-11-01 04:24:00,2025-11-01 00:24:00,"IFR",0,0,100,320,8,4000,29.78,NA,"BKN  ft; OVC  ft","SPECI CYTS 010424Z 32008KT 2 1/2SM -SN BKN006 OVC015 00/00 A2978 RMK SC7SC1 SLP101",2025-11-01 04:28:32.676246,2025-11-01 00:28:32.676246
"CYSB",2025-11-01 04:00:00,2025-11-01,"VFR",2,-2,75,320,11,24100,29.73,NA,"OVC  ft","METAR CYSB 010400Z 32011G18KT 15SM OVC037 02/M02 A2973 RMK SC8 SLP083",2025-11-01 04:28:32.759052,2025-11-01 00:28:32.759052
"CYYB",2025-11-01 04:00:00,2025-11-01,"VFR",2,-2,75,320,12,14500,29.66,NA,"BKN  ft","METAR CYYB 010400Z AUTO 32012G19KT 9SM BKN043 02/M02 A2966 RMK SLP059",2025-11-01 04:28:32.840147,2025-11-01 00:28:32.840147
"CYOW",2025-11-01 04:00:00,2025-11-01,"MVFR",5,3,87,280,19,9999,29.44,NA,"BKN  ft; OVC  ft","METAR CYOW 010400Z 28019G27KT 10SM BKN010 OVC017 05/03 A2944 RMK SC7SC1 SLP976",2025-11-01 04:28:32.920974,2025-11-01 00:28:32.920974
